student_id,full_name,email,phone_number,study_hours_per_day,attendance_percentage,sleep_hours,exam_score,noise_num_0,noise_num_1,noise_num_2,noise_num_3,noise_num_4,noise_num_5,noise_num_6,noise_num_7,noise_num_8,noise_num_9,noise_num_10,noise_num_11,noise_num_12,noise_num_13,noise_num_14,noise_num_15,noise_num_16,noise_num_17,noise_num_18,noise_num_19
S1000,Anna Ivanov,anna.ivanov64@example.edu,+1-555-768-5475,6.7742453717789886,94.06401430438355,6.675406076225811,90.84650824475209,0.20698515964083974,0.42273403427206224,0.17613829917307988,0.1346920249233473,0.8602818862189409,0.32039720359730783,0.3607586865182536,0.055270409501227635,0.35736962350205415,0.26480717732157966,0.6104850673417885,0.20539029767240669,0.8883654530628405,0.9296666209195551,0.0998310571767902,0.10740295628857721,0.11532643811098797,0.619569256310312,0.12196896420962289,0.8523823179302663
S1001,Ivan Brown,ivan.brown55@example.edu,+1-555-401-7058,4.744068330211547,93.82803844382391,6.115056362850557,89.71538166689078,0.7542715149378925,0.8198088582380241,0.5260605268860209,0.9966772115191534,0.04417510294416127,0.40126496418611335,0.3239366689376362,0.948645498712641,0.5768609584975929,0.8061909654447252,0.17034119365851885,0.9786341439004389,0.4986395468763152,0.4936720762706458,0.9708847285457378,0.38073236121714504,0.39752502455499295,0.5847527028049366,0.12805261054778694,0.3210856264118549
S1002,Daniel Kuznetsova,daniel.kuznetsova39@example.edu,+1-555-696-4366,6.48487895824614,94.23226046518378,6.791458177376546,90.70001274188606,0.19320832244513053,0.1032834791070496,0.8661446063310201,0.589331166127476,0.3586727915279112,0.4086693773667128,0.43151900368735463,0.6331491821447094,0.9267693914889933,0.9327796196569825,0.3914919795306634,0.32926245959776956,0.45104650018525505,0.5679342304284926,0.46181791144974826,0.6587534098167009,0.5543990233797637,0.3207155466940761,0.3457308057626326,0.3785927875597309
S1003,John Lee,john.lee83@example.edu,+1-555-465-4317,6.5594276278050945,96.01451708627123,6.420758408026841,89.22663678340508,0.09463976824938869,0.16606263241397312,0.7231138021453861,0.38909671152208003,0.21453897256014365,0.5626724105748573,0.7555395424734273,0.2574223623453714,0.8267898819237445,0.9275048596250496,0.5973945290738407,0.6689476589915796,0.05257599032305538,0.9455198910219065,0.3924847342649438,0.9239004005454299,0.5789775247502426,0.0046187988433276095,0.038541999323435716,0.680418805669922
S1004,Anna Kuznetsova,anna.kuznetsova19@example.edu,+1-555-140-1285,6.831875705674249,94.1370056592539,6.790605271176545,89.95506668011237,0.5626680138319331,0.026532437206074344,0.7434599612223853,0.8521453370691817,0.4964174824393083,0.46575744035725497,0.0054731088346274825,0.7866497124935993,0.33071606674610543,0.8787636197825396,0.37306058755805305,0.5650779106307056,0.2703417881993275,0.16058831258491868,0.774907903381328,0.4965904788462816,0.5364879237522507,0.9654159534817355,0.9635799122221537,0.8556421217024035
S1005,Alex Ivanov,alex.ivanov21@example.edu,+1-555-174-4813,6.333623872809265,94.38716341003645,7.1002872048066275,89.86092346613808,0.18760929276503358,0.5942726943015799,0.8781474246555374,0.3744639364489377,0.10110616593558497,0.8109629022399218,0.48176355136217164,0.5643926803591786,0.9821442963178444,0.6072114304940721,0.4249793856661014,0.3699843678471978,0.4176192926540456,0.11839908317866876,0.7947505584175718,0.8377168581870411,0.28439713457340887,0.3037966184099441,0.8743342563348132,0.023970355527955456
S1006,Kate Brown,kate.brown27@example.edu,+1-555-558-4674,6.114504960053203,94.68307980456059,6.479078266998014,90.32889965792766,0.5204574437672277,0.46367571468150104,0.6901267695784598,0.16339170014945448,0.6683307407951538,0.37673400787487643,0.618714778169642,0.04009500987277592,0.4617271971845094,0.5222508939823721,0.2143264028549866,0.1396236541791207,0.1884743030123014,0.34414107806334804,0.09681014930497145,0.9473197957296045,0.4049940614958173,0.808969602506749,0.9744171231088467,0.08073528000273911
S1007,Julia Lee,julia.lee33@example.edu,+1-555-958-3022,6.87145935043639,95.3877389027071,7.927482840783415,89.63422648525385,0.651669467934994,0.871409086741214,0.6342344339667283,0.4290261213574127,0.4310763576379383,0.03589888600735891,0.5346007512892753,0.9935429967868474,0.9587075259719341,0.04039922884216318,0.7057970036294882,0.3017648666969308,0.9029891534061367,0.045114745709278536,0.9358741020110806,0.8374757437877769,0.11750438225260151,0.05982433731729919,0.8347076643269359,0.15575767097457938
S1008,Alex Kuznetsova,alex.kuznetsova51@example.edu,+1-555-453-3225,6.038981543835616,94.26760454457691,6.5543814803179465,91.0160750634488,0.5348981529758705,0.9157448578787095,0.5674481135493233,0.3972333014728241,0.4450160548539922,0.06311717070387102,0.9687523213615988,0.3106541850810828,0.18936349167285382,0.2860473018403953,0.9643731948914789,0.094286053488007,0.8673030405011813,0.7078438944014478,0.8300191791590281,0.9758975403678963,0.8421546555168719,0.9433823512778529,0.12693525679091977,0.79578856516697
S1009,Julia Müller,julia.müller94@example.edu,+1-555-369-6256,6.397447288110612,94.24385917073373,5.257966905877884,90.58553350904224,0.5456756940810478,0.5434955950798607,0.8989215763205136,0.9718038186467113,0.704838323043181,0.4829383894717839,0.45640385790184534,0.3863414572231818,0.36159902957266266,0.3915068416844314,0.08975323525119527,0.07743608526043821,0.7798698438723117,0.4460728929202261,0.9306844885446205,0.6122210085939525,0.03517598218441975,0.15752334131747947,0.20581979301300757,0.9757360243896606
